id,Country Name,1995,2000,2005,2010,2015
ABW,Aruba,73.5636097560976,73.7241951219512,74.1999024390244,74.9106341463415,75.5943414634146
AFG,Afghanistan,53.0624146341464,55.4989268292683,58.5155853658537,61.2354634146342,63.2981951219512
AGO,Angola,43.0981219512195,47.076756097561,52.7877073170732,58.1411219512195,61.1893414634146
ALB,Albania,72.2762682926829,74.0140243902439,75.3570243902439,76.7479024390244,78.2031463414634
AND,Andorra,,,,,
ARE,United Arab Emirates,73.1922682926829,74.5094634146341,75.7285365853659,76.6948780487805,77.484243902439
ARG,Argentina,72.6651219512195,73.7558048780488,74.6883170731707,75.4920243902439,76.2930243902439
ARM,Armenia,68.789512195122,71.1996585365854,72.3987804878049,73.1092926829268,74.2061951219512
ASM,American Samoa,,,,,
ATG,Antigua and Barbuda,72.3176829268293,73.3972926829268,74.4254390243903,75.3132926829268,76.0756341463415
AUS,Australia,77.8292682926829,79.2341463414634,80.8414634146341,81.6951219512195,82.4512195121951
AUT,Austria,76.6682926829268,78.1268292682927,79.3317073170732,80.5804878048781,81.8439024390244
AZE,Azerbaijan,65.1747317073171,66.6815853658537,68.6770975609756,70.9186097560976,71.8451951219512
BDI,Burundi,48.7971951219512,51.4879268292683,52.7053658536585,54.837,57.0693414634146
BEL,Belgium,76.8407317073171,77.7219512195122,78.9804878048781,80.1829268292683,81.2878048780488
BEN,Benin,55.1101219512195,55.310756097561,57.2856097560976,59.2592682926829,60.5846829268293
BFA,Burkina Faso,49.3403170731707,50.3828536585366,53.2184390243903,57.0146829268293,59.8446585365854
BGD,Bangladesh,61.8723658536585,65.3251219512195,67.9412926829268,70.2420487804878,72.2216097560976
BGR,Bulgaria,71.0534146341464,71.6634146341463,72.5609756097561,73.5121951219512,74.4658536585366
BHR,Bahrain,73.5307317073171,74.5280243902439,75.4071707317073,76.1553170731707,76.8651951219512
BHS,"Bahamas, The",71.2625609756098,72.2542926829268,73.6393658536586,74.5969024390244,75.3687804878049
BIH,Bosnia and Herzegovina,71.5631707317073,74.2622195121951,75.0875365853659,75.7937317073171,76.6402926829268
BLR,Belarus,68.4609756097561,68.9121951219512,68.8512195121951,70.4048780487805,73.6243902439025
BLZ,Belize,69.5887804878049,68.4188780487805,69.0853658536585,69.7620243902439,70.3109756097561
BMU,Bermuda,,77.8853658536585,78.6853658536586,79.2885365853658,81.0121951219512
BOL,Bolivia,57.8632926829268,60.6900487804878,63.5397804878049,66.4058048780488,68.7498048780488
BRA,Brazil,67.6016829268293,70.0163902439024,71.986,73.7695609756098,75.1991219512195
BRB,Barbados,72.2843902439025,73.219512195122,74.0303414634146,74.8488048780488,75.6379024390244
BRN,Brunei Darussalam,74.2229512195122,75.2947804878049,76.3415853658537,76.7541951219512,77.066756097561
BTN,Bhutan,56.6475365853659,60.7484390243903,64.8696585365854,67.7742926829268,69.8071219512195
BWA,Botswana,55.4549756097561,48.9825853658537,52.0703170731707,59.7809268292683,65.7510975609756
CAF,Central African Republic,46.2271707317073,43.9142926829268,44.4428292682927,47.5327073170732,51.3778536585366
CAN,Canada,77.9775609756098,79.2365853658537,80.2926829268293,81.1975609756098,82.1290243902439
CHE,Switzerland,78.4170731707317,79.6804878048781,81.2365853658537,82.2463414634147,83.1975609756098
CHL,Chile,75.2276585365854,76.6447073170732,77.6474390243903,78.3089268292683,79.1606829268293
CHN,China,70.2104634146341,71.9955853658537,74.0175609756098,75.2660975609756,76.1170975609756
CIV,Cote d'Ivoire,49.5606585365854,46.6974390243902,47.6964146341463,50.4507073170732,53.078243902439
CMR,Cameroon,49.9932682926829,49.9997317073171,52.889,55.4011463414634,57.557512195122
COD,"Congo, Dem. Rep.",49.0659268292683,50.0028780487805,53.6372926829268,56.8701707317073,59.1732195121951
COG,"Congo, Rep.",53.2269024390244,51.3773414634146,54.665512195122,60.4526097560976,64.0907317073171
COL,Colombia,69.4269268292683,70.9887073170732,72.2644390243903,73.2829024390244,74.1561951219512
COM,Comoros,58.6971707317073,59.4389024390244,60.1107804878049,61.8470731707317,63.4606829268293
CPV,Cabo Verde,66.568756097561,69.5738048780488,71.5755853658537,71.7745365853659,72.4351707317073
CRI,Costa Rica,76.5586097560976,77.4226829268293,78.0866585365854,78.7326341463415,79.6089024390244
CUB,Cuba,75.409,76.6448048780488,77.9321463414634,78.9366585365854,79.5437073170732
CYM,Cayman Islands,,,,,
